entity,state,year,births_15_44,source_url,source_table
Arizona,04,2010,87477,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arkansas,05,2010,38540,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
California,06,2010,510198,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Colorado,08,2010,66355,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Connecticut,09,2010,37708,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Delaware,10,2010,11364,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
District of Columbia,11,2010,9165,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Florida,12,2010,214590,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Georgia,13,2010,133947,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Hawaii,15,2010,18988,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Idaho,16,2010,23198,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Illinois,17,2010,165200,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Indiana,18,2010,83940,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Iowa,19,2010,38719,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kansas,20,2010,40649,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kentucky,21,2010,55784,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Louisiana,22,2010,62379,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maine,23,2010,12970,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maryland,24,2010,73801,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Massachusetts,25,2010,72865,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Michigan,26,2010,114531,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Minnesota,27,2010,68610,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Mississippi,28,2010,40036,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Missouri,29,2010,76759,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
