country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44
United States,Nebraska,31,2011,all,all,25720.0,355861.0,72.27541090481958
United States,Nevada,32,2011,all,all,35296.0,546017.0,64.6426759606386
United States,New Hampshire,33,2011,all,all,12851.0,247942.0,51.83067007606618
United States,New Jersey,34,2011,all,all,105883.0,1726406.0,61.33145969140515
United States,New Mexico,35,2011,all,all,27289.0,399665.0,68.27968423554726
United States,New York,36,2011,all,all,241312.0,4040994.0,59.71600056817704
United States,North Carolina,37,2011,all,all,120389.0,1947387.0,61.82078857463873
United States,North Dakota,38,2011,all,all,9527.0,130638.0,72.92671351367902
United States,Ohio,39,2011,all,all,137918.0,2221866.0,62.07305030996469
United States,Oklahoma,40,2011,all,all,52272.0,741044.0,70.53832161113239
United States,Oregon,41,2011,all,all,45155.0,761477.0,59.29923031161808
United States,Pennsylvania,42,2011,all,all,143178.0,2434700.0,58.80724524582084
United States,Rhode Island,44,2011,all,all,10960.0,212494.0,51.57792690617147
United States,South Carolina,45,2011,all,all,57393.0,921170.0,62.304460631588086
United States,South Dakota,46,2011,all,all,11846.0,152741.0,77.55612441976942
United States,Tennessee,47,2011,all,all,79588.0,1274725.0,62.43542724901449
United States,Texas,48,2011,all,all,377445.0,5395961.0,69.94954188883129
United States,Utah,49,2011,all,all,51223.0,610903.0,83.8480086036572
United States,Vermont,50,2011,all,all,6078.0,117463.0,51.74395341511795
United States,Virginia,51,2011,all,all,102652.0,1638663.0,62.643752864377845
United States,Washington,53,2011,all,all,86976.0,1363510.0,63.78831105015731
United States,West Virginia,54,2011,all,all,20717.0,341074.0,60.740484469645885
United States,Wisconsin,55,2011,all,all,67810.0,1091066.0,62.15022739229341
United States,Wyoming,56,2011,all,all,7399.0,106384.0,69.54993232064973
United States,Alabama,01,2012,all,all,58448.0,957963.0,61.012794857421426
United States,Alaska,02,2012,all,all,11187.0,143564.0,77.92343484438996
United States,Arizona,04,2012,all,all,86441.0,1282267.0,67.4126371496732
United States,Arkansas,05,2012,all,all,38347.0,574043.0,66.8016159068223
United States,California,06,2012,all,all,503755.0,7942767.0,63.42311187020845
United States,Colorado,08,2012,all,all,65187.0,1050449.0,62.056320678110026
United States,Connecticut,09,2012,all,all,36539.0,686720.0,53.208003261882574
United States,Delaware,10,2012,all,all,11023.0,178459.0,61.76768893695471
United States,District of Columbia,11,2012,all,all,9399.0,170741.0,55.04828951452785
United States,Florida,12,2012,all,all,213148.0,3603008.0,59.15834769170648
United States,Georgia,13,2012,all,all,130280.0,2078223.0,62.68817157735239
United States,Hawaii,15,2012,all,all,18980.0,260194.0,72.9455713813539
United States,Idaho,16,2012,all,all,22963.0,308769.0,74.3695124834423
United States,Illinois,17,2012,all,all,159160.0,2609351.0,60.99601011899127
United States,Indiana,18,2012,all,all,83227.0,1286985.0,64.6681973760378
United States,Iowa,19,2012,all,all,38702.0,580355.0,66.68676930499436
United States,Kansas,20,2012,all,all,40341.0,555894.0,72.56959060540319
United States,Kentucky,21,2012,all,all,55758.0,851599.0,65.47447801136451
United States,Louisiana,22,2012,all,all,62642.0,932578.0,67.17078893132799
United States,Maine,23,2012,all,all,12798.0,236436.0,54.128812871136375
United States,Maryland,24,2012,all,all,72883.0,1192271.0,61.12955863222371
United States,Massachusetts,25,2012,all,all,72439.0,1359120.0,53.298457825651894
United States,Michigan,26,2012,all,all,113091.0,1899211.0,59.546306334577885
United States,Minnesota,27,2012,all,all,68772.0,1044844.0,65.82035212912167
United States,Mississippi,28,2012,all,all,38669.0,600147.0,64.43254735923031
United States,Missouri,29,2012,all,all,75446.0,1170720.0,64.44410277436108
United States,Montana,30,2012,all,all,12118.0,181417.0,66.79638622620813
United States,Nebraska,31,2012,all,all,25942.0,357739.0,72.51655536578343
United States,Nevada,32,2012,all,all,34911.0,549749.0,63.50352615466331
United States,New Hampshire,33,2012,all,all,12352.0,246449.0,50.119903103684734
United States,New Jersey,34,2012,all,all,104230.0,1716249.0,60.731280833958245
United States,New Mexico,35,2012,all,all,27068.0,399945.0,67.67930590456187
United States,New York,36,2012,all,all,240916.0,4033018.0,59.73590993147067
United States,North Carolina,37,2012,all,all,119831.0,1953911.0,61.328791331846745
United States,North Dakota,38,2012,all,all,10106.0,134086.0,75.3695389526125
United States,Ohio,39,2012,all,all,138483.0,2212463.0,62.59223318084868
United States,Oklahoma,40,2012,all,all,52751.0,746958.0,70.62110587208385
United States,Oregon,41,2012,all,all,45067.0,765859.0,58.84503544386108
United States,Pennsylvania,42,2012,all,all,142514.0,2426021.0,58.743926783815965
United States,Rhode Island,44,2012,all,all,10926.0,211435.0,51.67545581384349
United States,South Carolina,45,2012,all,all,57155.0,924316.0,61.834913600976286
United States,South Dakota,46,2012,all,all,12104.0,154429.0,78.37906092767551
United States,Tennessee,47,2012,all,all,80371.0,1281016.0,62.740043840201835
United States,Texas,48,2012,all,all,382727.0,5476739.0,69.88227848725309
United States,Utah,49,2012,all,all,51465.0,619015.0,83.14015007713868
United States,Vermont,50,2012,all,all,6009.0,116546.0,51.559041065330426
United States,Virginia,51,2012,all,all,103013.0,1648143.0,62.502464895339784
