country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44,housing_cost_burden,rent_burden_share,median_gross_rent,housing_estimate_type,housing_source_url
United States,Maryland,24,2019,all,all,70178.0,1178978.0,59.52443557046866,0.47388772527447237,0.47388772527447237,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Massachusetts,25,2019,all,all,69117.0,1392795.0,49.62467556244817,0.4626281117482424,0.4626281117482424,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Michigan,26,2019,all,all,107886.0,1878038.0,57.44612196345335,0.442825057478393,0.442825057478393,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Minnesota,27,2019,all,all,66027.0,1081343.0,61.06018164449208,0.41795851143595036,0.41795851143595036,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Mississippi,28,2019,all,all,36636.0,582126.0,62.934828542274346,0.4024523191073981,0.4024523191073981,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Missouri,29,2019,all,all,72127.0,1173968.0,61.43864227985772,0.40666420888808613,0.40666420888808613,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Montana,30,2019,all,all,11079.0,194608.0,56.92982816739291,0.4107786629465105,0.4107786629465105,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Nebraska,31,2019,all,all,24755.0,372616.0,66.43568714172231,0.3837984573621354,0.3837984573621354,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Nevada,32,2019,all,all,35072.0,599543.0,58.49788922562686,0.4815810853582077,0.4815810853582077,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,New Hampshire,33,2019,all,all,11839.0,245592.0,48.20596762109515,0.44258093239203716,0.44258093239203716,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,New Jersey,34,2019,all,all,99585.0,1672683.0,59.536086634466905,0.4660579875231015,0.4660579875231015,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,New Mexico,35,2019,all,all,22960.0,396679.0,57.88055329372112,0.4174086703924726,0.4174086703924726,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,New York,36,2019,all,all,221539.0,3871739.0,57.21950782322879,0.47303380005639506,0.47303380005639506,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,North Carolina,37,2019,all,all,118725.0,2044597.0,58.06767788468828,0.42596921288165973,0.42596921288165973,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,North Dakota,38,2019,all,all,10454.0,147001.0,71.11516248188788,0.35474150334111326,0.35474150334111326,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Ohio,39,2019,all,all,134461.0,2210423.0,60.830438336915606,0.4040807739540535,0.4040807739540535,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Oklahoma,40,2019,all,all,49143.0,771770.0,63.67570649286705,0.39465466479574113,0.39465466479574113,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
