country,state,entity,year,age,age_band,marital,parity,exposure,source,allocation
United States,05,Arkansas,2010,26,25_29,married,all,9633.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,26,25_29,unmarried,all,8932.4,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,27,25_29,married,all,9633.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,27,25_29,unmarried,all,8932.4,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,28,25_29,married,all,9633.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,28,25_29,unmarried,all,8932.4,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,29,25_29,married,all,9633.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,29,25_29,unmarried,all,8932.4,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,30,30_34,married,all,11730.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,30,30_34,unmarried,all,6093.8,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,31,30_34,married,all,11730.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,31,30_34,unmarried,all,6093.8,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,32,30_34,married,all,11730.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,32,30_34,unmarried,all,6093.8,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,33,30_34,married,all,11730.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,33,30_34,unmarried,all,6093.8,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,34,30_34,married,all,11730.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,34,30_34,unmarried,all,6093.8,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,35,35_39,married,all,12941.2,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,35,35_39,unmarried,all,6179.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,36,35_39,married,all,12941.2,Census ACS1 B12002,uniform_within_band
