entity,state,year,housing_cost_burden,rent_burden_share,median_gross_rent,estimate_type,source_url
Tennessee,47,2019,0.4210020730762179,0.4210020730762179,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
Texas,48,2019,0.4480370734721933,0.4480370734721933,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
Utah,49,2019,0.4182228920673261,0.4182228920673261,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
Vermont,50,2019,0.5062798144154741,0.5062798144154741,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
Virginia,51,2019,0.42856204688780486,0.42856204688780486,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
Washington,53,2019,0.45282489136809245,0.45282489136809245,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
West Virginia,54,2019,0.36271415806246676,0.36271415806246676,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
Wisconsin,55,2019,0.4000091987269984,0.4000091987269984,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
Wyoming,56,2019,0.39537118969883744,0.39537118969883744,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
Alabama,01,2021,0.4341134310335178,0.4341134310335178,,,
Alaska,02,2021,0.44992569261140564,0.44992569261140564,,,
Arizona,04,2021,0.4785835600246921,0.4785835600246921,,,
Arkansas,05,2021,0.39943220944252594,0.39943220944252594,,,
California,06,2021,0.5271607835977482,0.5271607835977482,,,
Colorado,08,2021,0.5045154660417392,0.5045154660417392,,,
Connecticut,09,2021,0.4914565318154267,0.4914565318154267,,,
Delaware,10,2021,0.4702934266893915,0.4702934266893915,,,
Florida,12,2021,0.5489939133548156,0.5489939133548156,,,
Georgia,13,2021,0.47584333284522323,0.47584333284522323,,,
Hawaii,15,2021,0.5342452310728518,0.5342452310728518,,,
Idaho,16,2021,0.4316701707604738,0.4316701707604738,,,
Illinois,17,2021,0.4437580313722442,0.4437580313722442,,,
Indiana,18,2021,0.43261297420774475,0.43261297420774475,,,
Iowa,19,2021,0.4120337424320389,0.4120337424320389,,,
Kansas,20,2021,0.3972941724258801,0.3972941724258801,,,
Kentucky,21,2021,0.4061134278863506,0.4061134278863506,,,
Louisiana,22,2021,0.48382028561921325,0.48382028561921325,,,
Maine,23,2021,0.4294922855517253,0.4294922855517253,,,
Maryland,24,2021,0.49264831019975225,0.49264831019975225,,,
Massachusetts,25,2021,0.4854384594651489,0.4854384594651489,,,
Michigan,26,2021,0.46129765415481677,0.46129765415481677,,,
Minnesota,27,2021,0.4551086808284031,0.4551086808284031,,,
Mississippi,28,2021,0.4432085898704688,0.4432085898704688,,,
Missouri,29,2021,0.4218243389760963,0.4218243389760963,,,
Montana,30,2021,0.3793110994397759,0.3793110994397759,,,
Nebraska,31,2021,0.4266416732438832,0.4266416732438832,,,
Nevada,32,2021,0.5208264863443652,0.5208264863443652,,,
New Hampshire,33,2021,0.42559399473478293,0.42559399473478293,,,
New Jersey,34,2021,0.48907966530947306,0.48907966530947306,,,
New Mexico,35,2021,0.442907758190162,0.442907758190162,,,
New York,36,2021,0.5032553332538481,0.5032553332538481,,,
North Carolina,37,2021,0.4445861582869034,0.4445861582869034,,,
