entity,state,year,female_15_44,source_url
Kansas,20,2012,555894,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kansas,20,2013,556826,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kansas,20,2014,556910,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kansas,20,2015,558112,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kansas,20,2016,557336,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kansas,20,2017,556052,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kansas,20,2018,557912,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kansas,20,2019,558920,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kansas,20,2020,563782,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Kansas,20,2021,565732,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Kentucky,21,2007,869003,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Kentucky,21,2008,868294,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Kentucky,21,2009,863624,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Kentucky,21,2010,853956,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kentucky,21,2011,853645,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kentucky,21,2012,851599,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kentucky,21,2013,852664,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kentucky,21,2014,850503,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kentucky,21,2015,848940,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kentucky,21,2016,846664,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kentucky,21,2017,846070,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kentucky,21,2018,845381,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kentucky,21,2019,845501,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Kentucky,21,2020,851701,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Kentucky,21,2021,855893,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Louisiana,22,2007,918635,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Louisiana,22,2008,928631,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Louisiana,22,2009,930761,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Louisiana,22,2010,926732,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Louisiana,22,2011,930158,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Louisiana,22,2012,932578,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Louisiana,22,2013,934904,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Louisiana,22,2014,936239,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Louisiana,22,2015,936902,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Louisiana,22,2016,934989,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Louisiana,22,2017,928894,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Louisiana,22,2018,924237,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Louisiana,22,2019,920124,https://www2.census.gov/programs-surveys/popest/datasets/2010-2019/state/detail/sc-est2019-agesex-civ.csv
Louisiana,22,2020,918841,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Louisiana,22,2021,914316,https://www2.census.gov/programs-surveys/popest/datasets/2020-2021/state/asrh/sc-est2021-agesex-civ.csv
Maine,23,2007,253292,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
Maine,23,2008,250005,https://www2.census.gov/programs-surveys/popest/datasets/2000-2009/state/asrh/sc-est2009-agesex-res.csv
