entity,code,year,indicator,value
India,IND,2010,SP.POP.0014.MA.IN,204250499.0
India,IND,2010,SP.POP.1564.FE.IN,382079870.0
India,IND,2010,SP.POP.1564.MA.IN,410231584.0
India,IND,2010,SP.POP.65UP.FE.IN,32817547.0
India,IND,2010,SP.POP.65UP.MA.IN,28616003.0
India,IND,2011,SP.POP.0014.FE.IN,185368138.0
India,IND,2011,SP.POP.0014.MA.IN,204097696.0
India,IND,2011,SP.POP.1564.FE.IN,389896933.0
India,IND,2011,SP.POP.1564.MA.IN,418644475.0
India,IND,2011,SP.POP.65UP.FE.IN,33769698.0
India,IND,2011,SP.POP.65UP.MA.IN,29448014.0
India,IND,2012,SP.POP.0014.FE.IN,185136050.0
India,IND,2012,SP.POP.0014.MA.IN,203778931.0
India,IND,2012,SP.POP.1564.FE.IN,397634456.0
India,IND,2012,SP.POP.1564.MA.IN,426997208.0
India,IND,2012,SP.POP.65UP.FE.IN,34787328.0
India,IND,2012,SP.POP.65UP.MA.IN,30340529.0
India,IND,2013,SP.POP.0014.FE.IN,184739320.0
India,IND,2013,SP.POP.0014.MA.IN,203236901.0
India,IND,2013,SP.POP.1564.FE.IN,405365662.0
India,IND,2013,SP.POP.1564.MA.IN,435329609.0
India,IND,2013,SP.POP.65UP.FE.IN,35847852.0
India,IND,2013,SP.POP.65UP.MA.IN,31310167.0
India,IND,2014,SP.POP.0014.FE.IN,183993964.0
India,IND,2014,SP.POP.0014.MA.IN,202296224.0
India,IND,2014,SP.POP.1564.FE.IN,412907483.0
India,IND,2014,SP.POP.1564.MA.IN,443434941.0
India,IND,2014,SP.POP.65UP.FE.IN,37109634.0
India,IND,2014,SP.POP.65UP.MA.IN,32534945.0
India,IND,2015,SP.POP.0014.FE.IN,182951247.0
India,IND,2015,SP.POP.0014.MA.IN,201020492.0
India,IND,2015,SP.POP.1564.FE.IN,420161099.0
India,IND,2015,SP.POP.1564.MA.IN,451259170.0
India,IND,2015,SP.POP.65UP.FE.IN,38613415.0
India,IND,2015,SP.POP.65UP.MA.IN,34019075.0
India,IND,2016,SP.POP.0014.FE.IN,181831596.0
India,IND,2016,SP.POP.0014.MA.IN,199649050.0
India,IND,2016,SP.POP.1564.FE.IN,427477653.0
India,IND,2016,SP.POP.1564.MA.IN,459164278.0
India,IND,2016,SP.POP.65UP.FE.IN,40217956.0
