year,country,policy,population,households,living_clans,births,deaths,migrants,mean_children_per_completed_family,mean_child_investment,upward_mobility_rate,high_status_share,median_household_resources,bottom_clan_extinction_share,below_deadline_share,occupational_persistence_rate,precarious_inheritance_rate,fertility_realization_gap,political_occupation_share,medical_occupation_share,precarious_occupation_share,unemployment_rate,injury_rate,homeownership_rate,licensed_physician_share,state_sector_share,political_dynasty_share,faction_concentration,elite_marriage_share
1985,JPN,无专项生育限制,426,150,120,4,1,3,1.4588,41.105,0.16667,0.03704,185.6134,0.0,0.11224,0.3038,0.33333,0.28398,0.0,0.04321,0.10185,0.03086,0.02778,0.6,0.04321,0.15432,0.0,0,0.01351
1985,USA,无专项生育限制,726,240,200,8,1,12,1.5242,39.0631,0.06667,0.0293,184.2822,0.0,0.1871,0.33628,0.38462,0.2868,0.0,0.02734,0.0918,0.05273,0.03125,0.62083,0.02734,0.1543,0.0,0,0.00424
1986,CHN,独生子女为主（含例外）,1596,396,300,15,3,0,3.1979,3.5227,0.15686,0.00745,19.885,0.0,0.52417,0.40833,0.31707,1.92612,0.0,0.01489,0.1383,0.04043,0.04362,0.54798,0.01489,0.1266,0.0,0,0.00262
1986,IND,国家家庭福利/计划生育项目（简化）,1801,388,300,31,0,4,3.585,2.0245,0.16667,0.00309,11.3026,0.0,0.4,0.36294,0.32558,1.91581,0.00103,0.0206,0.12564,0.069,0.03502,0.72938,0.0206,0.13388,0.0,0,0.0
1986,JPN,无专项生育限制,430,158,120,1,1,4,1.4536,41.5563,0.0,0.03582,181.7393,0.0,0.12871,0.29213,0.4,0.32723,0.0,0.04179,0.10746,0.03284,0.03881,0.58861,0.04179,0.16119,0.0,0,0.0129
1986,USA,无专项生育限制,729,246,200,4,1,8,1.5547,38.8329,0.18519,0.03154,189.237,0.0,0.21605,0.36429,0.27273,0.28369,0.0,0.02597,0.09647,0.04453,0.0334,0.62602,0.02597,0.15399,0.0,0,0.00415
1987,CHN,独生子女为主（含例外）,1611,421,300,11,1,5,3.194,3.8656,0.24194,0.00697,19.691,0.0,0.52681,0.40284,0.29032,2.02813,0.0,0.01393,0.1403,0.03682,0.04776,0.54632,0.01393,0.12338,0.0,0,0.00246
1987,IND,国家家庭福利/计划生育项目（简化）,1821,412,300,32,3,9,3.6376,2.0344,0.22059,0.00387,12.756,0.0,0.41266,0.36797,0.33684,2.01458,0.00097,0.01936,0.12488,0.0668,0.03582,0.73058,0.01936,0.1394,0.0,0,0.0
1987,JPN,无专项生育限制,440,163,120,6,0,4,1.46,40.3939,0.375,0.03478,183.4293,0.0,0.15842,0.31959,0.38462,0.30204,0.0,0.04058,0.10725,0.02609,0.03768,0.60123,0.04058,0.17101,0.0,0,0.0125
1987,USA,无专项生育限制,731,249,200,2,0,0,1.527,39.8117,0.06667,0.03069,189.6527,0.0,0.21084,0.34839,0.25,0.29433,0.00181,0.02527,0.09928,0.03971,0.0361,0.62651,0.02527,0.14982,0.0,0,0.00408
